,PSH,PSD,PSA,vencedorft
1348,1.27,6.35,13.25,H
1349,2.41,3.39,3.22,H
1350,1.31,5.75,12,A
1351,10.95,5.55,1.34,A
1352,2.86,3.31,2.71,A
1353,1.21,7.25,17.45,H
1354,1.28,6.26,12.86,H
1355,5.14,4.18,1.7,D
1356,1.68,3.94,5.81,D
1357,3.75,3.9,2.01,H
1358,5.34,4.05,1.71,A
1359,2.68,3.45,2.82,H
1360,5.75,4.27,1.63,H
1361,4.56,4.26,1.76,D
1362,1.91,3.98,4.07,H
1363,2.33,3.38,3.39,H
1364,1.85,3.67,4.84,A
1365,1.3,6.3,10.73,H
1366,3.42,3.37,2.32,H
1367,1.58,4.07,7.01,H
1368,3.39,3.53,2.27,H
1369,2.22,3.54,3.48,D
1370,1.43,4.82,8.67,H
1371,2.48,3.45,3.06,D
1372,1.55,4.37,6.88,H
1373,1.25,7.15,12.89,H
1374,1.23,7.25,14.75,D
1375,1.22,7.55,14,A
1376,1.37,5.26,10.17,A
1377,3.34,3.62,2.25,H
1378,5.47,3.91,1.72,A
1379,5.49,4.06,1.68,A
1380,1.59,4.03,7,D
1381,1.98,3.6,4.21,A
1382,1.2,7.88,17.01,D
1383,3.13,3.49,2.42,H
1384,1.84,3.7,4.86,H
1385,1.74,3.79,5.55,H
1386,10.45,5.72,1.33,A
1387,5.95,3.93,1.68,A
1388,1.27,6.13,11.66,H
1389,2.6,3.38,2.94,H
1390,4.14,3.38,2.07,A
1391,2.34,3.39,3.37,D
1392,2.76,3.33,2.8,D
1393,1.98,3.54,4.3,H
1394,1.93,3.66,4.33,H
1395,2.48,3.49,2.92,D
1396,3.08,3.36,2.5,A
1397,2.37,3.07,3.66,H
1398,2.54,3.36,3.05,D
1399,6.02,4.13,1.63,A
1400,3.22,3.18,2.53,D
1401,6.35,4.09,1.62,A
1402,2.07,3.67,3.79,D
1403,2.11,3.47,3.89,H
1404,2.51,3.18,3.25,D
1405,1.32,5.51,12.56,H
1406,2,3.51,4.25,H
1407,2.58,3.44,2.93,H
1408,1.23,7,15.54,H
1409,1.36,5.52,9.56,D
1410,2.33,3.13,3.69,D
1411,1.67,4.13,5.61,H
1412,3.94,3.5,2.08,A
1413,4.63,4.01,1.8,H
1414,1.08,13.99,30.97,H
1415,1.76,4,4.91,H
1416,1.34,5.6,10.4,H
1417,2.83,3.31,2.74,A
1418,2.02,3.3,4.51,H
1419,5.96,4.22,1.61,H
1420,2.24,3.35,3.66,A
1421,1.78,3.71,5.32,A
1422,1.76,4.05,4.82,H
1423,2.03,3.4,4.28,D
1424,1.3,6.3,10.91,H
1425,2.63,3.26,3,D
1426,2.41,3.29,3.32,A
1427,2.01,3.67,3.99,A
1428,6.31,4.28,1.59,A
1429,1.71,3.89,5.62,D
1430,1.16,8.65,21,H
1431,1.19,7.45,16.08,H
1432,1.26,6.3,15.25,A
1433,1.19,7.8,17,H
1434,1.49,4.7,7.29,A
1435,12.1,6.52,1.27,D
1436,1.64,4.1,6.03,H
1437,3.85,3.79,2.01,D
1438,2.48,3.54,2.99,D
1439,2.72,3.14,2.9,H
1440,1.54,4.33,7.19,H
1441,1.57,4.23,6.75,D
1442,3.09,3.31,2.53,A
1443,1.27,6.48,13.15,H
1444,1.76,3.72,5.48,H
1445,2.76,3.41,2.73,H
1446,4.64,4.01,1.79,H
1447,6.1,3.96,1.66,A
1448,2.69,3.52,2.75,D
1449,7.5,4.73,1.48,A
1450,2.8,3.23,2.83,D
1451,2.22,3.27,3.78,D
1452,4.43,3.55,1.95,H
1453,1.29,5.66,11.94,H
1454,2.38,3.16,3.52,D
1455,1.89,3.57,4.69,H
1456,1.29,6.26,11.64,H
1457,2.2,3.22,3.91,D
1458,2.58,3.24,3.08,H
1459,5.45,3.91,1.72,D
1460,2.78,3.01,3.04,H
1461,3.97,3.62,2.03,H
1462,2.36,3.51,3.17,H
1463,1.07,14.96,42.94,H
1464,1.32,5.69,11.8,H
1465,1.94,3.49,4.56,H
1466,13.5,6.85,1.25,A
1467,2.72,3.56,2.69,D
1468,2.15,3.51,3.7,H
1469,2.84,3.36,2.7,A
1470,1.4,5.31,8.45,D
1471,3.98,3.49,2.07,A
1472,1.57,4.35,6.47,H
1473,2.43,3.44,3.15,A
1474,1.21,7.65,16,H
1475,2.58,3.49,2.89,D
1476,2.21,3.38,3.67,H
1477,1.73,3.84,5.5,D
1478,3.07,3.28,2.57,A
1479,2.68,3.04,3.14,D
1480,5,4.33,1.69,A
1481,3.24,3.54,2.33,D
1482,3.16,3.63,2.35,D
1483,7.09,4.66,1.51,A
1484,1.24,7.02,14.56,H
1485,2.59,3.35,2.98,D
1486,2.11,3.35,4.03,H
1487,2.11,3.44,3.93,H
1488,1.3,6.6,10.25,H
1489,3.47,3.41,2.28,D
1490,1.43,5.04,8.05,H
1491,7.42,4.43,1.52,D
1492,1.43,4.72,8.49,D
1493,4.89,3.59,1.86,A
1494,6.63,4.24,1.58,A
1495,1.35,5.48,10.2,H
1496,2.07,3.7,3.75,A
1497,1.42,5.17,7.89,D
1498,1.75,4.33,4.58,H
1499,15.5,8.24,1.2,A
1500,1.1,11.96,32.7,H
1501,4.34,3.7,1.93,A
1502,2.35,3.18,3.6,D
1503,1.87,3.65,4.72,D
1504,6.29,4.44,1.57,D
1505,1.95,3.45,4.53,H
1506,2.29,3.66,3.22,H
1507,3.2,3.25,2.5,H
1508,2.64,3.5,2.81,H
1509,2.84,3.58,2.57,D
1510,3.15,3.56,2.37,H
1511,1.78,3.62,5.55,H
1512,2.06,3.5,4.04,H
1513,4.02,3.46,2.08,D
